pair,matcher,param_num_disparities,param_block_size,param_p1,param_p2,param_uniqueness_ratio,param_mode_hh,mae,rmse,bad_0_5,bad_1_0,bad_3_0,density,evaluated,gt_valid,elapsed_ms
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,3200,5,True,0.22887334680685606,0.346924544917791,0.00138444646011362,0.00018728586065197512,0.00016525222998703688,0.9545393998878295,272311,285280,103.79441699999958
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,3200,10,False,0.39522861377288127,1.8685784382989632,0.009838563635962104,0.008881576525842332,0.008837407889990651,0.9523485698261357,271686,285280,72.3840839999994
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,3200,10,True,0.23104685916622486,0.4058976248597861,0.001457934727123829,0.00029011799355864606,0.0002791008545627481,0.9545113572630398,272303,285280,104.66104099999995
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,3200,15,False,0.3498867452087384,1.6047381250806052,0.007460812268234669,0.0065115901133157034,0.006474655399116521,0.9490605720695457,270748,285280,70.4895840000006
random-dot-640x480-d64-s0,opencv-sgbm,64,5,200,3200,15,True,0.23559839235235258,0.5017206424128191,0.0016821166757261014,0.0005362205996856131,0.0005288751120186869,0.9544167134043746,272276,285280,90.14025000000103
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,800,5,False,0.29569399651330874,1.227502944668673,0.0041882816288741605,0.003809866709774127,0.003809866709774127,0.9541082445316882,272188,285280,70.45795899999874
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,800,5,True,0.24967051045076014,0.747295077155786,0.0018109087970496513,0.0013921590955006447,0.0013921590955006447,0.9542870162647223,272239,285280,106.57633299999958
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,800,10,False,0.300869381639011,1.272552976963976,0.004434744588840022,0.0040563032527583965,0.0040563032527583965,0.9540416432978127,272169,285280,101.83829099999997
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,800,10,True,0.2507150725118204,0.7617358389956934,0.0018699004801492982,0.001443754201765568,0.001443754201765568,0.9541748457655637,272207,285280,94.82920900000025
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,800,15,False,0.30567212342977623,1.3137414221497563,0.004645146116305051,0.004281325336626095,0.004281325336626095,0.9538418395961862,272112,285280,76.10562500000029
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,800,15,True,0.25132592798298226,0.772131127948334,0.0018850176008466044,0.0014624503024112058,0.0014624503024112058,0.9539610207515423,272146,285280,98.98887499999987
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,1568,5,False,0.3325200860564655,1.497911031650803,0.006049253484656493,0.005770113676014177,0.005770113676014177,0.9543781547952889,272265,285280,76.7251249999994
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,1568,5,True,0.24313612057095269,0.6555025965424316,0.0015165981198589893,0.0010832843713278497,0.0010832843713278497,0.9545709478407179,272320,285280,117.04137499999945
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,1568,10,False,0.3390400147089393,1.5426259269374671,0.0063622905715408715,0.006097807360714693,0.006097807360714693,0.9542519629837353,272229,285280,89.02320800000041
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,1568,10,True,0.24437042312925208,0.6768357679520207,0.0015680197416255994,0.0011383749880654235,0.0011383749880654235,0.9545639371845205,272318,285280,95.2138749999989
random-dot-640x480-d64-s0,opencv-sgbm,64,5,392,1568,15,False,0.33935501255681205,1.5461940129376561,0.006354374926496531,0.006100787957191579,0.006100787957191579,0.9537857543466068,272096,285280,76.1779159999989
